Version,OCP Version,Cluster,Duration,Iteration,Scenario,Type,CPU,Max CPU
4.9,4.9.1,master-0,8h,1,idle,os daemon,0.242,2.5198647
4.9,4.9.1,master-0,8h,1,idle,infra pods,2.2778647,
4.9,4.9.1,master-0,8h,1,workloadlaunch,os daemon,0.646,3.0547986
4.9,4.9.1,master-0,8h,1,workloadlaunch,infra pods,2.4087986,
4.9,4.9.1,master-0,8h,1,mustgather,os daemon,0.4673333,3.0260155
4.9,4.9.1,master-0,8h,1,mustgather,infra pods,2.5586822,
4.9,4.9.1,master-0,8h,1,promquery,os daemon,0.3606667,2.983194
4.9,4.9.1,master-0,8h,1,promquery,infra pods,2.6225273,
4.9,4.9.1,master-0,8h,1,steadyworkload,os daemon,0.7757931,3.3249069
4.9,4.9.1,master-0,8h,1,steadyworkload,infra pods,2.5491138,
4.9,4.9.1,master-0,8h,2,idle,os daemon,0.302,2.6831857
4.9,4.9.1,master-0,8h,2,idle,infra pods,2.3811857,
4.9,4.9.1,master-0,8h,2,workloadlaunch,os daemon,0.7976809,3.4771628
4.9,4.9.1,master-0,8h,2,workloadlaunch,infra pods,2.6794819,
4.9,4.9.1,master-0,8h,2,mustgather,os daemon,0.6977828,3.286765
4.9,4.9.1,master-0,8h,2,mustgather,infra pods,2.5889822,
4.9,4.9.1,master-0,8h,2,promquery,os daemon,0.4606667,3.0660437
4.9,4.9.1,master-0,8h,2,promquery,infra pods,2.605377,
4.9,4.9.1,master-0,8h,2,steadyworkload,os daemon,0.4326667,2.7704069
4.9,4.9.1,master-0,8h,2,steadyworkload,infra pods,2.3377402,
4.9,4.9.1,master-0,8h,3,idle,os daemon,0.2735259,2.5865993
4.9,4.9.1,master-0,8h,3,idle,infra pods,2.3130734,
4.9,4.9.1,master-0,8h,3,workloadlaunch,os daemon,0.6834869,3.3106749
4.9,4.9.1,master-0,8h,3,workloadlaunch,infra pods,2.627188,
4.9,4.9.1,master-0,8h,3,mustgather,os daemon,0.457879,2.9646932
4.9,4.9.1,master-0,8h,3,mustgather,infra pods,2.5068142,
4.9,4.9.1,master-0,8h,3,promquery,os daemon,0.4253333,2.8977234
4.9,4.9.1,master-0,8h,3,promquery,infra pods,2.4723901,
4.9,4.9.1,master-0,8h,3,steadyworkload,os daemon,0.4331312,2.7849495
4.9,4.9.1,master-0,8h,3,steadyworkload,infra pods,2.3518183,
4.9,4.9.1,master-0,8h,4,idle,os daemon,0.2833711,2.5941062
4.9,4.9.1,master-0,8h,4,idle,infra pods,2.3107351,
4.9,4.9.1,master-0,8h,4,workloadlaunch,os daemon,0.7933333,3.3866994
4.9,4.9.1,master-0,8h,4,workloadlaunch,infra pods,2.5933661,
4.9,4.9.1,master-0,8h,4,mustgather,os daemon,0.6973333,3.2307383
4.9,4.9.1,master-0,8h,4,mustgather,infra pods,2.533405,
4.9,4.9.1,master-0,8h,4,promquery,os daemon,0.4333333,2.9939491
4.9,4.9.1,master-0,8h,4,promquery,infra pods,2.5606158,
4.9,4.9.1,master-0,8h,4,steadyworkload,os daemon,0.4386667,2.8374762
4.9,4.9.1,master-0,8h,4,steadyworkload,infra pods,2.3988095,
4.9,4.9.1,master-0,8h,5,idle,os daemon,0.3013333,2.6192304
4.9,4.9.1,master-0,8h,5,idle,infra pods,2.3178971,
4.9,4.9.1,master-0,8h,5,workloadlaunch,os daemon,0.7033333,3.2603455
4.9,4.9.1,master-0,8h,5,workloadlaunch,infra pods,2.5570122,
4.9,4.9.1,master-0,8h,5,mustgather,os daemon,0.9747123,3.6886933
4.9,4.9.1,master-0,8h,5,mustgather,infra pods,2.713981,
4.9,4.9.1,master-0,8h,5,promquery,os daemon,0.3594292,3.0610655
4.9,4.9.1,master-0,8h,5,promquery,infra pods,2.7016363,
4.9,4.9.1,master-0,8h,5,steadyworkload,os daemon,0.4566667,2.8456329
4.9,4.9.1,master-0,8h,5,steadyworkload,infra pods,2.3889662,
4.9,4.9.1,master-0,8h,6,idle,os daemon,0.2513333,2.5697418
4.9,4.9.1,master-0,8h,6,idle,infra pods,2.3184085,
4.9,4.9.1,master-0,8h,6,workloadlaunch,os daemon,0.8358328,3.2423907
4.9,4.9.1,master-0,8h,6,workloadlaunch,infra pods,2.4065579,
4.9,4.9.1,master-0,8h,6,mustgather,os daemon,1.2333333,3.8684466
4.9,4.9.1,master-0,8h,6,mustgather,infra pods,2.6351133,
4.9,4.9.1,master-0,8h,6,promquery,os daemon,0.3296703,2.7611404
4.9,4.9.1,master-0,8h,6,promquery,infra pods,2.4314701,
4.9,4.9.1,master-0,8h,6,steadyworkload,os daemon,0.94,3.3153947
4.9,4.9.1,master-0,8h,6,steadyworkload,infra pods,2.3753947,
4.8,4.8.15,master-1,8h,1,idle,os daemon,0.558,3.2343467
4.8,4.8.15,master-1,8h,1,idle,infra pods,2.6763467,
4.8,4.8.15,master-1,8h,1,workloadlaunch,os daemon,0.9931347,3.3404025
4.8,4.8.15,master-1,8h,1,workloadlaunch,infra pods,2.3472678,
4.8,4.8.15,master-1,8h,1,mustgather,os daemon,1.8023605,3.9904393
4.8,4.8.15,master-1,8h,1,mustgather,infra pods,2.1880788,
4.8,4.8.15,master-1,8h,1,promquery,os daemon,0.8937021,2.998096
4.8,4.8.15,master-1,8h,1,promquery,infra pods,2.1043939,
4.8,4.8.15,master-1,8h,1,steadyworkload,os daemon,0.932,3.0993488
4.8,4.8.15,master-1,8h,1,steadyworkload,infra pods,2.1673488,
4.9,4.9.6,worker-2,8h,1,idle,os daemon,0.3466667,2.9182709
4.9,4.9.6,worker-2,8h,1,idle,infra pods,2.7074341,
4.9,4.9.6,worker-2,8h,1,workloadlaunch,os daemon,0.818,3.0517029
4.9,4.9.6,worker-2,8h,1,workloadlaunch,infra pods,2.6711123,
4.9,4.9.6,worker-2,8h,1,mustgather,os daemon,0.4881785,3.157015
4.9,4.9.6,worker-2,8h,1,mustgather,infra pods,2.7697882,
4.9,4.9.6,worker-2,8h,1,promquery,os daemon,0.3468708,3.0229823
4.9,4.9.6,worker-2,8h,1,promquery,infra pods,2.7443156,
4.9,4.9.6,worker-2,8h,1,steadyworkload,os daemon,0.3893333,2.8551466
4.9,4.9.6,worker-2,8h,1,steadyworkload,infra pods,2.5564194,
4.9,4.9.6,worker-2,8h,2,idle,os daemon,0.4106667,3.0177293
4.9,4.9.6,worker-2,8h,2,idle,infra pods,2.6542734,
4.9,4.9.6,worker-2,8h,2,workloadlaunch,os daemon,0.8651858,2.9295434
4.9,4.9.6,worker-2,8h,2,workloadlaunch,infra pods,2.63021,
4.9,4.9.6,worker-2,8h,2,mustgather,os daemon,0.8240475,3.5987182
4.9,4.9.6,worker-2,8h,2,mustgather,infra pods,2.7746707,
4.9,4.9.6,worker-2,8h,2,promquery,os daemon,0.3862518,3.0715759
4.9,4.9.6,worker-2,8h,2,promquery,infra pods,2.685324,
4.9,4.9.6,worker-2,8h,2,steadyworkload,os daemon,0.3997326,2.8431744
4.9,4.9.6,worker-2,8h,2,steadyworkload,infra pods,2.5645077,
4.9,4.9.6,worker-2,8h,3,idle,os daemon,0.3426667,3.0643116
4.9,4.9.6,worker-2,8h,3,idle,infra pods,2.732912,
4.9,4.9.6,worker-2,8h,3,workloadlaunch,os daemon,0.8430757,3.0083544
4.9,4.9.6,worker-2,8h,3,workloadlaunch,infra pods,2.6634745,
4.9,4.9.6,worker-2,8h,3,mustgather,os daemon,0.5425631,3.2470408
4.9,4.9.6,worker-2,8h,3,mustgather,infra pods,2.7044777,
4.9,4.9.6,worker-2,8h,3,promquery,os daemon,0.3526667,3.0373169
4.9,4.9.6,worker-2,8h,3,promquery,infra pods,2.7648011,
4.9,4.9.6,worker-2,8h,3,steadyworkload,os daemon,0.4283713,2.8328946
4.9,4.9.6,worker-2,8h,3,steadyworkload,infra pods,2.5499679,
4.9,4.9.6,worker-2,8h,4,idle,os daemon,0.364,3.0197136
4.9,4.9.6,worker-2,8h,4,idle,infra pods,2.7870469,
4.9,4.9.6,worker-2,8h,4,workloadlaunch,os daemon,0.6581572,2.8954356
4.9,4.9.6,worker-2,8h,4,workloadlaunch,infra pods,2.5958657,
4.9,4.9.6,worker-2,8h,4,mustgather,os daemon,1.0168028,3.8364516
4.9,4.9.6,worker-2,8h,4,mustgather,infra pods,2.8196487,
4.9,4.9.6,worker-2,8h,4,promquery,os daemon,0.328,3.0340127
4.9,4.9.6,worker-2,8h,4,promquery,infra pods,2.7522664,
4.9,4.9.6,worker-2,8h,4,steadyworkload,os daemon,0.4282855,2.8464364
4.9,4.9.6,worker-2,8h,4,steadyworkload,infra pods,2.5264364,
4.9,4.9.6,worker-2,8h,5,idle,os daemon,0.4053333,2.9892885
4.9,4.9.6,worker-2,8h,5,idle,infra pods,2.6852885,
4.9,4.9.6,worker-2,8h,5,workloadlaunch,os daemon,0.6766667,3.2351205
4.9,4.9.6,worker-2,8h,5,workloadlaunch,infra pods,2.6371205,
4.9,4.9.6,worker-2,8h,5,mustgather,os daemon,0.65,3.3606527
4.9,4.9.6,worker-2,8h,5,mustgather,infra pods,2.7523635,
4.9,4.9.6,worker-2,8h,5,promquery,os daemon,0.3717497,2.963417
4.9,4.9.6,worker-2,8h,5,promquery,infra pods,2.635417,
4.9,4.9.6,worker-2,8h,5,steadyworkload,os daemon,0.4570539,2.8258044
4.9,4.9.6,worker-2,8h,5,steadyworkload,infra pods,2.5458044,
4.9,4.9.13-assembly.art3657,worker-2,8h,1,idle,os daemon,0.2793333,1.8144593
4.9,4.9.13-assembly.art3657,worker-2,8h,1,idle,infra pods,1.59312,
4.9,4.9.13-assembly.art3657,worker-2,8h,1,workloadlaunch,os daemon,1.3993333,3.1839399
4.9,4.9.13-assembly.art3657,worker-2,8h,1,workloadlaunch,infra pods,1.7846066,
4.9,4.9.13-assembly.art3657,worker-2,8h,1,mustgather,os daemon,0.3826667,2.3664947
4.9,4.9.13-assembly.art3657,worker-2,8h,1,mustgather,infra pods,2.0164947,
4.9,4.9.13-assembly.art3657,worker-2,8h,1,promquery,os daemon,0.3773333,2.4571229
4.9,4.9.13-assembly.art3657,worker-2,8h,1,promquery,infra pods,2.1497896,
4.9,4.9.13-assembly.art3657,worker-2,8h,1,steadyworkload,os daemon,0.8686667,2.8813614
4.9,4.9.13-assembly.art3657,worker-2,8h,1,steadyworkload,infra pods,2.5383269,
4.10,4.10.8,worker-2,8h,1,idle,os daemon,0.4013333,1.7998528
4.10,4.10.8,worker-2,8h,1,idle,infra pods,1.4979103,
4.10,4.10.8,worker-2,8h,1,workloadlaunch,os daemon,0.6491602,2.3854441
4.10,4.10.8,worker-2,8h,1,workloadlaunch,infra pods,2.0427774,
4.10,4.10.8,worker-2,8h,1,mustgather,os daemon,0.5366667,2.0721818
4.10,4.10.8,worker-2,8h,1,mustgather,infra pods,1.5355151,
4.10,4.10.8,worker-2,8h,1,promquery,os daemon,0.544,2.1493055
4.10,4.10.8,worker-2,8h,1,promquery,infra pods,1.6952937,
4.10,4.10.8,worker-2,8h,1,steadyworkload,os daemon,0.544,2.0762297
4.10,4.10.8,worker-2,8h,1,steadyworkload,infra pods,1.7222297,
4.10,4.10.8,worker-2,8h,2,idle,os daemon,0.2933333,1.7731342
4.10,4.10.8,worker-2,8h,2,idle,infra pods,1.4944675,
4.10,4.10.8,worker-2,8h,2,workloadlaunch,os daemon,0.6702234,2.0907538
4.10,4.10.8,worker-2,8h,2,workloadlaunch,infra pods,1.7120871,
4.10,4.10.8,worker-2,8h,2,mustgather,os daemon,0.5086667,2.0088405
4.10,4.10.8,worker-2,8h,2,mustgather,infra pods,1.5001739,
4.10,4.10.8,worker-2,8h,2,promquery,os daemon,0.4512431,2.2516363
4.10,4.10.8,worker-2,8h,2,promquery,infra pods,1.834303,
4.10,4.10.8,worker-2,8h,2,steadyworkload,os daemon,0.5573333,2.1562163
4.10,4.10.8,worker-2,8h,2,steadyworkload,infra pods,1.6937256,
4.10,4.10.8,worker-2,8h,3,idle,os daemon,0.2233333,1.7024883
4.10,4.10.8,worker-2,8h,3,idle,infra pods,1.4868164,
4.10,4.10.8,worker-2,8h,3,workloadlaunch,os daemon,0.746,2.1817306
4.10,4.10.8,worker-2,8h,3,workloadlaunch,infra pods,1.833655,
4.10,4.10.8,worker-2,8h,3,mustgather,os daemon,0.3766667,2.2542865
4.10,4.10.8,worker-2,8h,3,mustgather,infra pods,1.8776119,
4.10,4.10.8,worker-2,8h,3,promquery,os daemon,0.294,2.3606024
4.10,4.10.8,worker-2,8h,3,promquery,infra pods,2.1212691,
4.10,4.10.8,worker-2,8h,3,steadyworkload,os daemon,0.266,1.8400961
4.10,4.10.8,worker-2,8h,3,steadyworkload,infra pods,1.6280961,
4.10,4.10.8,worker-2,8h,4,idle,os daemon,0.172,1.6294789
4.10,4.10.8,worker-2,8h,4,idle,infra pods,1.4848122,
4.10,4.10.8,worker-2,8h,4,workloadlaunch,os daemon,0.6493333,2.2185336
4.10,4.10.8,worker-2,8h,4,workloadlaunch,infra pods,1.9257225,
4.10,4.10.8,worker-2,8h,4,mustgather,os daemon,0.346,2.0679175
4.10,4.10.8,worker-2,8h,4,mustgather,infra pods,1.7219175,
4.10,4.10.8,worker-2,8h,4,promquery,os daemon,0.278,2.0217881
4.10,4.10.8,worker-2,8h,4,promquery,infra pods,1.7804547,
4.10,4.10.8,worker-2,8h,4,steadyworkload,os daemon,0.278,1.8141091
4.10,4.10.8,worker-2,8h,4,steadyworkload,infra pods,1.6045355,
4.10,4.10.8,worker-2,8h,5,idle,os daemon,0.1773333,1.6798508
4.10,4.10.8,worker-2,8h,5,idle,infra pods,1.5041254,
4.10,4.10.8,worker-2,8h,5,workloadlaunch,os daemon,0.5821621,2.0013754
4.10,4.10.8,worker-2,8h,5,workloadlaunch,infra pods,1.7621136,
4.10,4.10.8,worker-2,8h,5,mustgather,os daemon,0.472,1.9661993
4.10,4.10.8,worker-2,8h,5,mustgather,infra pods,1.6017192,
4.10,4.10.8,worker-2,8h,5,promquery,os daemon,0.31,2.2862003
4.10,4.10.8,worker-2,8h,5,promquery,infra pods,1.9645147,
4.10,4.10.8,worker-2,8h,5,steadyworkload,os daemon,0.278,1.9859315
4.10,4.10.8,worker-2,8h,5,steadyworkload,infra pods,1.7605982,
4.10,4.10.8,worker-2,8h,6,idle,os daemon,0.1913333,1.710325
4.10,4.10.8,worker-2,8h,6,idle,infra pods,1.5342964,
4.10,4.10.8,worker-2,8h,6,workloadlaunch,os daemon,0.622,2.4000684
4.10,4.10.8,worker-2,8h,6,workloadlaunch,infra pods,1.9707207,
4.10,4.10.8,worker-2,8h,6,mustgather,os daemon,0.6761803,2.2063362
4.10,4.10.8,worker-2,8h,6,mustgather,infra pods,1.5415719,
4.10,4.10.8,worker-2,8h,6,promquery,os daemon,0.3,2.2145147
4.10,4.10.8,worker-2,8h,6,promquery,infra pods,1.9645147,
4.10,4.10.8,worker-2,8h,6,steadyworkload,os daemon,0.27,1.9482728
4.10,4.10.8,worker-2,8h,6,steadyworkload,infra pods,1.7229395,
4.11,4.11.0-rc.1,worker-0,8h,1,idle,os daemon,0.288,1.8210465
4.11,4.11.0-rc.1,worker-0,8h,1,idle,infra pods,1.5489036,
