Version,OCP Version,ptp4l_avg_offset,ptp4l_max_offset,ptp4l_min_offset,phc2sys_avg_offset,phc2sys_max_offset,phc2sys_min_offset,NIC,Cluster,Config,Duration,Kernel,Vendor/Model,PTP Operator Version
4.9,4.9.44,4.65115,27,1,7.67151,49,1,E810,cnfde4,BC,8h,4.18.0-305.49.1.rt7.121.el8_4.x86_64,Dell R640,
4.10,4.10.23,4.67945,29,1,8.04266,2202,1,E810,cnfde4,BC,8h,4.18.0-305.49.1.rt7.121.el8_4.x86_64,Dell R640,
4.10,4.10.6,5.11655,28,1,9.93103,42,1,E810,cnfde4,BC,8h,,Dell R640,
4.11,4.11.0-rc.7,5.53138,36,1,9.02248,64,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.19.1.rt7.176.el8_6.x86_64,Dell R640,
4.11,4.11.6,5.50052,36,1,9.23365,58,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,Dell R640,
4.12,4.12.0-0.nightly 2022-10-25-121937,4.82235,31,1,7.63349,61,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,Dell R640,
4.12,4.12.0-rc.1,6.03485,42,1,9.22973,69,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-425.3.1.rt7.213.el8.x86_64,Dell R640,
4.12,4.12.0-rc.1,5.48005,37,1,9.71458,65,1,E810,cnfde4,BC - Dual Nic,8h,"4.18.0-372.36.1.rt7.193.el8_6.x86_64
(sideloaded)",Dell R640,
4.12,4.12.0-rc.1,5.9864,47,1,9.13889,76,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-425.3.1.rt7.213.el8.x86_64,Dell R640,
4.12,4.12.0-rc.5,5.4057,39,1,9.17221,72,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.39.1.rt7.196.el8_6.x86_64,Dell R640,
4.12,4.12.0-rc.6,4.67289,29,1,7.28833,53,1,E810,cnfde4,BC ,8h,4.18.0-372.39.1.rt7.196.el8_6.x86_64,Dell R640,
4.12,4.12.0-rc.7,6.03389,37,1,9.37967,144,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64,Dell R640,
4.12,4.12.0-rc.8,5.44093,30,1,9.8328,61,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.40.1.rt7.197.el8_6.x86_64,Dell R640,
4.13,4.13.0-ec.3,5.17486,36,1,7.77571,53,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,Dell R640,
4.13,4.13.0-ec.3,2340760,521836097,1,3070350,3070350,1,WPC,cnfde4,GM,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,Dell R640,
4.13,4.13.0-0.nightly-2023-02-27-101545,5.45694,28,1,8.89071,56,1,E810,cnfde4,BC - Dual Nic,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,Dell R640,
4.12,4.12.6,2.09817,18,1,5.58648,61,1,Chapman Beach - E810-C for QSFP,cnfde30,OC,8h,4.18.0-372.46.1.el8_6.x86_64,Nokia SRP,4.12.0-202303081116
4.13,4.12.6,11.4545,51,1,6.91555,70,1,WPC - E810-C for SFP,cnfde22,BC+OC,8h,4.18.0-372.46.1.rt7.203.el8_6.x86_64,Dell R640,4.13.0-202303102030
4.13,4.13.0-0.nightly-2023-03-10-165006,4.269,178,1,7.55084,96,1,E810,helix49,BC+3OC,8h,4.18.0-372.46.1.rt7.203.el8_6.x86_64,Dell R750,4.13.0-202303102030