Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,Kernel,Sideloaded
4.11,4.11.0-rc.5,4.11,3,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,4,8,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,5,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,6,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,0,8,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,7,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,8,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,9,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,10,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,11,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,12,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,13,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,1,8,1,1,100,100,worker-1,8h,,No
4.11,4.11.0-rc.5,4.11,2,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,3,6,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,4,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,5,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,6,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,0,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,7,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,8,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,9,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,10,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,11,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,12,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,13,23,1,1,100,11,worker-1,8h,,No
4.11,4.11.6,4.11,1,7,1,1,100,100,worker-1,8h,,No
4.11,4.11.6,4.11,2,7,1,1,100,100,worker-1,8h,,No
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,3,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,4,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,5,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,6,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,0,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,7,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,8,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,9,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,10,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,11,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,12,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,13,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,1,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,2,9,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,3,8,1,1,100,100,worker-1,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,4,7,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,5,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,6,7,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,0,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,7,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,8,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,9,18,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,10,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,11,7,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,12,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,13,7,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,1,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,2,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,3,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,4,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,5,27,1,1,100,11,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,6,20,1,1,100,11,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,0,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,7,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,8,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,9,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,10,18,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,11,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,12,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,13,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,1,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,2,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-rc.1,4.12,3,7,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,4,8,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,5,7,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,6,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,0,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,7,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,8,8,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,9,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,10,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,11,7,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,12,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,13,8,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,1,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,2,9,1,1,100,100,cnfdf35,8h,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.7,4.12,3,5,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,4,6,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,5,6,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,6,6,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,0,6,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,7,18,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,8,5,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,9,7,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,10,5,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,11,5,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,12,10,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,13,6,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,1,5,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0-rc.7,4.12,2,6,1,1,100,100,cnfdf35,8h,4.18.0-372.40.1.el8_6.iavf.bz2149746.bz2152493.x86_64 ,Yes
4.12,4.12.0,4.12,3,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,4,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,5,10,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,6,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,0,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,7,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,8,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,9,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,10,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,11,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,12,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,13,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,1,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,2,7,1,1,100,100,cnfdf35,8h,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,3,7,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,4,7,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,5,17,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,6,7,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,0,19,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,7,8,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,8,16,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,9,15,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,10,14,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,11,18,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,12,7,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,13,6,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,1,17,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.nightly-2023-02-16-120330,4.13,2,16,1,1,100,100,cnfdf35,8h,4.18.0-372.41.1.rt7.198.el8_6.x86_64,No
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,3,1000850,1,1,99.9999999942016,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,4,999025,1,1,99.9999999946247,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,5,1000859,1,1,99.9999999938578,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,6,1000851,1,1,99.9999999949556,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,0,1000849,1,1,99.9999999945276,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,7,999027,1,1,99.9999999928904,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,8,1000851,1,1,99.9999999935412,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,9,1000851,1,1,99.9999999933266,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,10,1000851,1,1,99.9999999936284,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,11,999030,1,1,99.9999999931061,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,12,1001308,1,1,99.9999999926501,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,13,1001309,1,1,99.9999999871651,9,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,1,1001310,1,1,99.9999999934193,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,2,1001304,1,1,99.9999999947278,10,cnfdf35,8h,5.14.0-283.rt14.283.el9.x86_64,Yes
4.12,4.12.6-SPR,4.12,3,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,4,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,5,16,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,6,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,0,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,7,11,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,8,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,9,11,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,10,11,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,11,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,12,12,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,13,11,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,1,11,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,2,11,1,1,100.0000000000000,100,cnfde30,8h,4.18.0-372.46.1.el8_6.x86_64,No