Version,OCP Version,Operator Version,Reboot Type,Stage,Iteration,Seconds,Total Minutes,Cluster,
4.8,4.8.9,4.8,Soft reboot,Node Pingable,1,377,17.62,,
4.8,4.8.9,4.8,Soft reboot,OC Reachable,1,40,,,
4.8,4.8.9,4.8,Soft reboot,Workload Recovery,1,436,,,
4.8,4.8.9,4.8,Soft reboot,Cluster Recovery,1,204,,,
4.8,4.8.9,4.8,Soft reboot,Node Pingable,2,270,18.37,,
4.8,4.8.9,4.8,Soft reboot,OC Reachable,2,37,,,
4.8,4.8.9,4.8,Soft reboot,Workload Recovery,2,531,,,
4.8,4.8.9,4.8,Soft reboot,Cluster Recovery,2,264,,,
4.8,4.8.9,4.8,Soft reboot,Node Pingable,3,297,17.95,,
4.8,4.8.9,4.8,Soft reboot,OC Reachable,3,38,,,
4.8,4.8.9,4.8,Soft reboot,Workload Recovery,3,451,,,
4.8,4.8.9,4.8,Soft reboot,Cluster Recovery,3,291,,,
4.8,4.8.9,4.8,Soft reboot,Node Pingable,4,295,18.32,,
4.8,4.8.9,4.8,Soft reboot,OC Reachable,4,45,,,
4.8,4.8.9,4.8,Soft reboot,Workload Recovery,4,472,,,
4.8,4.8.9,4.8,Soft reboot,Cluster Recovery,4,287,,,
4.8,4.8.9,4.8,Soft reboot,Node Pingable,5,294,18.37,,
4.8,4.8.9,4.8,Soft reboot,OC Reachable,5,44,,,
4.8,4.8.9,4.8,Soft reboot,Workload Recovery,5,425,,,
4.8,4.8.9,4.8,Soft reboot,Cluster Recovery,5,339,,,
4.8,4.8.9,4.8,Power off/on,Node Pingable,1,184,16.67,,
4.8,4.8.9,4.8,Power off/on,OC Reachable,1,114,,,
4.8,4.8.9,4.8,Power off/on,Workload Recovery,1,601,,,
4.8,4.8.9,4.8,Power off/on,Cluster Recovery,1,101,,,
4.8,4.8.9,4.8,Power off/on,Node Pingable,2,104,16.90,,
4.8,4.8.9,4.8,Power off/on,OC Reachable,2,100,,,
4.8,4.8.9,4.8,Power off/on,Workload Recovery,2,686,,,
4.8,4.8.9,4.8,Power off/on,Cluster Recovery,2,124,,,
4.8,4.8.9,4.8,Power off/on,Node Pingable,3,184,19.60,,
4.8,4.8.9,4.8,Power off/on,OC Reachable,3,96,,,
4.8,4.8.9,4.8,Power off/on,Workload Recovery,3,726,,,
4.8,4.8.9,4.8,Power off/on,Cluster Recovery,3,170,,,
4.8,4.8.9,4.8,Power off/on,Node Pingable,4,186,22.02,,
4.8,4.8.9,4.8,Power off/on,OC Reachable,4,123,,,
4.8,4.8.9,4.8,Power off/on,Workload Recovery,4,574,,,
4.8,4.8.9,4.8,Power off/on,Cluster Recovery,4,438,,,
4.8,4.8.9,4.8,Power off/on,Node Pingable,5,185,19.75,,
4.8,4.8.9,4.8,Power off/on,OC Reachable,5,120,,,
4.8,4.8.9,4.8,Power off/on,Workload Recovery,5,735,,,
4.8,4.8.9,4.8,Power off/on,Cluster Recovery,5,145,,,
4.9,4.9.0 rc.4,4.9,Power off/on,Node Pingable,1,185,16.12,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,OC Reachable,1,339,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Workload Recovery,1,5,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Cluster Recovery,1,438,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Node Pingable,2,185,21.50,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,OC Reachable,2,233,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Workload Recovery,2,5,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Cluster Recovery,2,867,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Node Pingable,3,185,17.03,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,OC Reachable,3,85,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Workload Recovery,3,581,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Cluster Recovery,3,171,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Node Pingable,4,185,14.42,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,OC Reachable,4,338,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Workload Recovery,4,200,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Cluster Recovery,4,142,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Node Pingable,5,185,16.23,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,OC Reachable,5,393,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Workload Recovery,5,185,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Cluster Recovery,5,211,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Node Pingable,6,185,19.30,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,OC Reachable,6,64,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Workload Recovery,6,751,,master-0,
4.9,4.9.0 rc.4,4.9,Power off/on,Cluster Recovery,6,158,,master-0,
4.8,4.8.15,4.8,Soft reboot,Node Pingable,1,296,19.43,master-0,
4.8,4.8.15,4.8,Soft reboot,OC Reachable,1,46,,master-0,
4.8,4.8.15,4.8,Soft reboot,Workload Recovery,1,600,,master-0,
4.8,4.8.15,4.8,Soft reboot,Cluster Recovery,1,224,,master-0,
4.8,4.8.15,4.8,Soft reboot,Node Pingable,2,272,44.20,master-0,
4.8,4.8.15,4.8,Soft reboot,OC Reachable,2,48,,master-0,
4.8,4.8.15,4.8,Soft reboot,Workload Recovery,2,857,,master-0,
4.8,4.8.15,4.8,Soft reboot,Cluster Recovery,2,1475,,master-0,
4.8,4.8.15,4.8,Soft reboot,Node Pingable,3,266,18.73,master-0,
4.8,4.8.15,4.8,Soft reboot,OC Reachable,3,47,,master-0,
4.8,4.8.15,4.8,Soft reboot,Workload Recovery,3,561,,master-0,
4.8,4.8.15,4.8,Soft reboot,Cluster Recovery,3,250,,master-0,
4.8,4.8.15,4.8,Soft reboot,Node Pingable,4,322,20.40,master-0,
4.8,4.8.15,4.8,Soft reboot,OC Reachable,4,48,,master-0,
4.8,4.8.15,4.8,Soft reboot,Workload Recovery,4,601,,master-0,
4.8,4.8.15,4.8,Soft reboot,Cluster Recovery,4,253,,master-0,
4.8,4.8.15,4.8,Soft reboot,Node Pingable,5,283,17.88,master-0,
4.8,4.8.15,4.8,Soft reboot,OC Reachable,5,46,,master-0,
4.8,4.8.15,4.8,Soft reboot,Workload Recovery,5,561,,master-0,
4.8,4.8.15,4.8,Soft reboot,Cluster Recovery,5,183,,master-0,
4.8,4.8.15,4.8,Soft reboot,Node Pingable,6,394,23.67,master-0,
4.8,4.8.15,4.8,Soft reboot,OC Reachable,6,43,,master-0,
4.8,4.8.15,4.8,Soft reboot,Workload Recovery,6,607,,master-0,
4.8,4.8.15,4.8,Soft reboot,Cluster Recovery,6,376,,master-0,
4.8,4.8.15,4.8,Power off/on,Node Pingable,1,185,23.05,master-0,
4.8,4.8.15,4.8,Power off/on,OC Reachable,1,77,,master-0,
4.8,4.8.15,4.8,Power off/on,Workload Recovery,1,860,,master-0,
4.8,4.8.15,4.8,Power off/on,Cluster Recovery,1,261,,master-0,
4.8,4.8.15,4.8,Power off/on,Node Pingable,2,185,26.90,master-0,
4.8,4.8.15,4.8,Power off/on,OC Reachable,2,54,,master-0,
4.8,4.8.15,4.8,Power off/on,Workload Recovery,2,1054,,master-0,
4.8,4.8.15,4.8,Power off/on,Cluster Recovery,2,321,,master-0,
4.8,4.8.15,4.8,Power off/on,Node Pingable,3,185,27.63,master-0,
4.8,4.8.15,4.8,Power off/on,OC Reachable,3,73,,master-0,
4.8,4.8.15,4.8,Power off/on,Workload Recovery,3,1117,,master-0,
4.8,4.8.15,4.8,Power off/on,Cluster Recovery,3,283,,master-0,
4.8,4.8.15,4.8,Power off/on,Node Pingable,4,185,23.98,master-0,
4.8,4.8.15,4.8,Power off/on,OC Reachable,4,75,,master-0,
4.8,4.8.15,4.8,Power off/on,Workload Recovery,4,960,,master-0,
4.8,4.8.15,4.8,Power off/on,Cluster Recovery,4,219,,master-0,
4.8,4.8.15,4.8,Power off/on,Node Pingable,5,185,24.97,master-0,
4.8,4.8.15,4.8,Power off/on,OC Reachable,5,56,,master-0,
4.8,4.8.15,4.8,Power off/on,Workload Recovery,5,900,,master-0,
4.8,4.8.15,4.8,Power off/on,Cluster Recovery,5,357,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,1,228,8.98,master-0,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,1,28,,master-0,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,1,220,,master-0,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,1,63,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,2,319,11.83,master-0,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,2,25,,master-0,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,2,205,,master-0,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,2,161,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,3,218,8.57,master-0,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,3,37,,master-0,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,3,205,,master-0,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,3,54,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,4,234,9.15,master-0,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,4,25,,master-0,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,4,227,,master-0,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,4,63,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,5,305,30.85,master-0,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,5,24,,master-0,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,5,1411,,master-0,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,5,111,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,6,219,10.02,master-0,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,6,38,,master-0,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,6,216,,master-0,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,6,128,,master-0,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,1,246,10.88,worker-2,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,1,29,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,1,211,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,1,167,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,2,321,10.42,worker-2,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,2,30,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,2,236,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,2,38,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,3,235,8.48,worker-2,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,3,29,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,3,160,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,3,85,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,4,230,7.95,worker-2,
4.9,4.9.6,4.9,Soft reboot,OC Reachable,4,32,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,4,157,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,4,58,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Node Pingable,5,,,worker-2,Failed
4.9,4.9.6,4.9,Soft reboot,OC Reachable,5,,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Workload Recovery,5,,,worker-2,
4.9,4.9.6,4.9,Soft reboot,Cluster Recovery,5,,,worker-2,
4.9,4.9.6,4.9,Power off/on,Node Pingable,1,187,11.12,worker-2,
4.9,4.9.6,4.9,Power off/on,OC Reachable,1,53,,worker-2,
4.9,4.9.6,4.9,Power off/on,Workload Recovery,1,210,,worker-2,
4.9,4.9.6,4.9,Power off/on,Cluster Recovery,1,217,,worker-2,
4.9,4.9.6,4.9,Power off/on,Node Pingable,2,187,9.27,worker-2,
4.9,4.9.6,4.9,Power off/on,OC Reachable,2,50,,worker-2,
4.9,4.9.6,4.9,Power off/on,Workload Recovery,2,270,,worker-2,
4.9,4.9.6,4.9,Power off/on,Cluster Recovery,2,49,,worker-2,
4.9,4.9.6,4.9,Power off/on,Node Pingable,3,187,12.33,worker-2,
4.9,4.9.6,4.9,Power off/on,OC Reachable,3,49,,worker-2,
4.9,4.9.6,4.9,Power off/on,Workload Recovery,3,415,,worker-2,
4.9,4.9.6,4.9,Power off/on,Cluster Recovery,3,89,,worker-2,
4.9,4.9.6,4.9,Power off/on,Node Pingable,4,188,8.72,worker-2,
4.9,4.9.6,4.9,Power off/on,OC Reachable,4,51,,worker-2,
4.9,4.9.6,4.9,Power off/on,Workload Recovery,4,236,,worker-2,
4.9,4.9.6,4.9,Power off/on,Cluster Recovery,4,48,,worker-2,
4.9,4.9.6,4.9,Power off/on,Node Pingable,5,188,8.73,worker-2,
4.9,4.9.6,4.9,Power off/on,OC Reachable,5,49,,worker-2,
4.9,4.9.6,4.9,Power off/on,Workload Recovery,5,235,,worker-2,
4.9,4.9.6,4.9,Power off/on,Cluster Recovery,5,52,,worker-2,
4.9,4.9.6,4.9,Power off/on,Node Pingable,6,186,8.90,worker-2,
4.9,4.9.6,4.9,Power off/on,OC Reachable,6,51,,worker-2,
4.9,4.9.6,4.9,Power off/on,Workload Recovery,6,257,,worker-2,
4.9,4.9.6,4.9,Power off/on,Cluster Recovery,6,40,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Node Pingable,1,232,7.85,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,OC Reachable,1,30,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Workload Recovery,1,160,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Cluster Recovery,1,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Node Pingable,2,231,8.75,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,OC Reachable,2,30,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Workload Recovery,2,215,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Cluster Recovery,2,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Node Pingable,3,230,9.45,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,OC Reachable,3,33,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Workload Recovery,3,222,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Cluster Recovery,3,82,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Node Pingable,4,321,10.05,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,OC Reachable,4,32,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Workload Recovery,4,201,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Cluster Recovery,4,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Node Pingable,5,231,7.85,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,OC Reachable,5,32,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Workload Recovery,5,141,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Cluster Recovery,5,67,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Node Pingable,6,322,10.28,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,OC Reachable,6,30,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Workload Recovery,6,216,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Soft reboot,Cluster Recovery,6,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Node Pingable,1,183,9.42,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,OC Reachable,1,58,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Workload Recovery,1,275,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Cluster Recovery,1,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Node Pingable,2,185,10.53,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,OC Reachable,2,54,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Workload Recovery,2,265,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Cluster Recovery,2,128,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Node Pingable,3,198,10.12,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,OC Reachable,3,40,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Workload Recovery,3,320,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Cluster Recovery,3,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Node Pingable,4,183,9.48,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,OC Reachable,4,52,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Workload Recovery,4,285,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Cluster Recovery,4,49,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Node Pingable,5,193,14.98,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,OC Reachable,5,47,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Workload Recovery,5,427,,worker-2,
4.9,4.9.13-assembly.art3657,4.9,Power off/on,Cluster Recovery,5,232,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Node Pingable,1,232,8.38,worker-2,
4.10,4.10.8,4.10,Soft reboot,OC Reachable,1,33,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Workload Recovery,1,171,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Cluster Recovery,1,67,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Node Pingable,2,321,10.02,worker-2,
4.10,4.10.8,4.10,Soft reboot,OC Reachable,2,31,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Workload Recovery,2,200,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Cluster Recovery,2,49,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Node Pingable,3,230,8.90,worker-2,
4.10,4.10.8,4.10,Soft reboot,OC Reachable,3,32,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Workload Recovery,3,190,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Cluster Recovery,3,82,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Node Pingable,4,321,9.62,worker-2,
4.10,4.10.8,4.10,Soft reboot,OC Reachable,4,32,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Workload Recovery,4,175,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Cluster Recovery,4,49,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Node Pingable,5,320,9.47,worker-2,
4.10,4.10.8,4.10,Soft reboot,OC Reachable,5,34,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Workload Recovery,5,165,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Cluster Recovery,5,49,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Node Pingable,6,322,11.53,worker-2,
4.10,4.10.8,4.10,Soft reboot,OC Reachable,6,32,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Workload Recovery,6,175,,worker-2,
4.10,4.10.8,4.10,Soft reboot,Cluster Recovery,6,163,,worker-2,
4.10,4.10.8,4.10,Power off/on,Node Pingable,1,183,9.95,worker-2,
4.10,4.10.8,4.10,Power off/on,OC Reachable,1,52,,worker-2,
4.10,4.10.8,4.10,Power off/on,Workload Recovery,1,280,,worker-2,
4.10,4.10.8,4.10,Power off/on,Cluster Recovery,1,82,,worker-2,
4.10,4.10.8,4.10,Power off/on,Node Pingable,2,183,9.63,worker-2,
4.10,4.10.8,4.10,Power off/on,OC Reachable,2,43,,worker-2,
4.10,4.10.8,4.10,Power off/on,Workload Recovery,2,200,,worker-2,
4.10,4.10.8,4.10,Power off/on,Cluster Recovery,2,152,,worker-2,
4.10,4.10.8,4.10,Power off/on,Node Pingable,3,183,9.02,worker-2,
4.10,4.10.8,4.10,Power off/on,OC Reachable,3,49,,worker-2,
4.10,4.10.8,4.10,Power off/on,Workload Recovery,3,260,,worker-2,
4.10,4.10.8,4.10,Power off/on,Cluster Recovery,3,49,,worker-2,
4.10,4.10.8,4.10,Power off/on,Node Pingable,4,184,11.65,worker-2,
