Version,OCP Version,Operator Version,Reboot Type,Stage,Iteration,Seconds,Total Minutes,Cluster,
4.10,4.10.8,4.10,Power off/on,OC Reachable,4,50,,worker-2,
4.10,4.10.8,4.10,Power off/on,Workload Recovery,4,300,,worker-2,
4.10,4.10.8,4.10,Power off/on,Cluster Recovery,4,165,,worker-2,
4.10,4.10.8,4.10,Power off/on,Node Pingable,5,183,9.95,worker-2,
4.10,4.10.8,4.10,Power off/on,OC Reachable,5,50,,worker-2,
4.10,4.10.8,4.10,Power off/on,Workload Recovery,5,281,,worker-2,
4.10,4.10.8,4.10,Power off/on,Cluster Recovery,5,83,,worker-2,
4.10,4.10.8,4.10,Power off/on,Node Pingable,6,184,12.10,worker-2,
4.10,4.10.8,4.10,Power off/on,OC Reachable,6,124,,worker-2,
4.10,4.10.8,4.10,Power off/on,Workload Recovery,6,320,,worker-2,
4.10,4.10.8,4.10,Power off/on,Cluster Recovery,6,98,,worker-2,
4.11,4.11.0-rc.1,4.11,Soft reboot,Node Pingable,1,304,10.48,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,OC Reachable,1,102,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Workload Recovery,1,150,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Cluster Recovery,1,73,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Node Pingable,2,304,10.93,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,OC Reachable,2,102,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Workload Recovery,2,160,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Cluster Recovery,2,90,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Node Pingable,3,304,9.98,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,OC Reachable,3,102,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Workload Recovery,3,155,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Cluster Recovery,3,38,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Node Pingable,4,304,10.92,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,OC Reachable,4,102,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Workload Recovery,4,125,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Cluster Recovery,4,124,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Node Pingable,5,211,9.72,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,OC Reachable,5,99,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Workload Recovery,5,130,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Cluster Recovery,5,143,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Node Pingable,6,304,11.70,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,OC Reachable,6,99,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Workload Recovery,6,140,,worker-0,
4.11,4.11.0-rc.1,4.11,Soft reboot,Cluster Recovery,6,159,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Node Pingable,1,172,11.47,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,OC Reachable,1,102,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Workload Recovery,1,340,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Cluster Recovery,1,74,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Node Pingable,2,172,11.60,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,OC Reachable,2,101,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Workload Recovery,2,330,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Cluster Recovery,2,93,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Node Pingable,3,172,12.92,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,OC Reachable,3,105,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Workload Recovery,3,425,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Cluster Recovery,3,73,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Node Pingable,4,172,10.87,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,OC Reachable,4,102,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Workload Recovery,4,235,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Cluster Recovery,4,143,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Node Pingable,5,172,10.62,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,OC Reachable,5,101,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Workload Recovery,5,205,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Cluster Recovery,5,159,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Node Pingable,6,172,12.23,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,OC Reachable,6,109,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Workload Recovery,6,275,,worker-0,
4.11,4.11.0-rc.1,4.11,Power off/on,Cluster Recovery,6,178,,worker-0,
4.10,4.10.23,4.10,Soft reboot,Node Pingable,1,307,10.57,worker-2,
4.10,4.10.23,4.10,Soft reboot,OC Reachable,1,105,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Workload Recovery,1,170,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Cluster Recovery,1,52,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Node Pingable,2,306,10.28,worker-2,
4.10,4.10.23,4.10,Soft reboot,OC Reachable,2,104,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Workload Recovery,2,155,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Cluster Recovery,2,52,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Node Pingable,3,214,9.73,worker-2,
4.10,4.10.23,4.10,Soft reboot,OC Reachable,3,105,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Workload Recovery,3,160,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Cluster Recovery,3,105,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Node Pingable,4,214,8.88,worker-2,
4.10,4.10.23,4.10,Soft reboot,OC Reachable,4,106,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Workload Recovery,4,145,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Cluster Recovery,4,68,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Node Pingable,5,307,10.28,worker-2,
4.10,4.10.23,4.10,Soft reboot,OC Reachable,5,103,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Workload Recovery,5,155,,worker-2,
4.10,4.10.23,4.10,Soft reboot,Cluster Recovery,5,52,,worker-2,
4.10,4.10.23,4.10,Power off/on,Node Pingable,1,185,10.25,worker-2,
4.10,4.10.23,4.10,Power off/on,OC Reachable,1,107,,worker-2,
4.10,4.10.23,4.10,Power off/on,Workload Recovery,1,255,,worker-2,
4.10,4.10.23,4.10,Power off/on,Cluster Recovery,1,68,,worker-2,
4.10,4.10.23,4.10,Power off/on,Node Pingable,2,185,9.75,worker-2,
4.10,4.10.23,4.10,Power off/on,OC Reachable,2,102,,worker-2,
4.10,4.10.23,4.10,Power off/on,Workload Recovery,2,230,,worker-2,
4.10,4.10.23,4.10,Power off/on,Cluster Recovery,2,68,,worker-2,
4.10,4.10.23,4.10,Power off/on,Node Pingable,3,185,10.45,worker-2,
4.10,4.10.23,4.10,Power off/on,OC Reachable,3,105,,worker-2,
4.10,4.10.23,4.10,Power off/on,Workload Recovery,3,285,,worker-2,
4.10,4.10.23,4.10,Power off/on,Cluster Recovery,3,52,,worker-2,
4.10,4.10.23,4.10,Power off/on,Node Pingable,4,185,10.27,worker-2,
4.10,4.10.23,4.10,Power off/on,OC Reachable,4,103,,worker-2,
4.10,4.10.23,4.10,Power off/on,Workload Recovery,4,10,,worker-2,
4.10,4.10.23,4.10,Power off/on,Cluster Recovery,4,318,,worker-2,
4.10,4.10.23,4.10,Power off/on,Node Pingable,5,185,10.27,worker-2,
4.10,4.10.23,4.10,Power off/on,OC Reachable,5,103,,worker-2,
4.10,4.10.23,4.10,Power off/on,Workload Recovery,5,260,,worker-2,
4.10,4.10.23,4.10,Power off/on,Cluster Recovery,5,68,,worker-2,
4.10,4.10.23,4.10,Power off/on,Node Pingable,6,185,10.53,worker-2,
4.10,4.10.23,4.10,Power off/on,OC Reachable,6,105,,worker-2,
4.10,4.10.23,4.10,Power off/on,Workload Recovery,6,290,,worker-2,
4.10,4.10.23,4.10,Power off/on,Cluster Recovery,6,52,,worker-2,
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,1,311,10.17,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,1,102,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,1,115,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,1,82,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,2,304,10.23,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,2,99,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,2,125,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,2,86,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,3,215,8.97,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,3,99,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,3,125,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,3,99,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,4,303,12.57,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,4,102,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,4,235,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,4,114,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,5,219,10.02,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,5,99,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,5,120,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,5,163,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Node Pingable,6,218,10.38,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,OC Reachable,6,102,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Workload Recovery,6,120,,worker-1,
4.11,4.11.0-rc.5,4.11,Soft reboot,Cluster Recovery,6,183,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,1,172,9.90,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,1,103,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,1,205,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,1,114,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,2,173,9.98,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,2,103,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,2,225,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,2,98,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,3,174,10.52,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,3,105,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,3,220,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,3,132,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,4,172,10.88,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,4,109,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,4,240,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,4,132,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,5,173,11.10,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,5,105,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,5,225,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,5,163,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Node Pingable,6,172,11.70,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,OC Reachable,6,106,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Workload Recovery,6,245,,worker-1,
4.11,4.11.0-rc.5,4.11,Power off/on,Cluster Recovery,6,179,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Node Pingable,1,311,9.90,worker-1,
4.11,4.11.6,4.11,Soft reboot,OC Reachable,1,99,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,1,100,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,1,84,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Node Pingable,2,215,8.60,worker-1,
4.11,4.11.6,4.11,Soft reboot,OC Reachable,2,102,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,2,115,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,2,84,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Node Pingable,3,311,12.45,worker-1,
4.11,4.11.6,4.11,Soft reboot,OC Reachable,3,87,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,3,265,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,3,84,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Node Pingable,4,214,9.10,worker-1,
4.11,4.11.6,4.11,Soft reboot,OC Reachable,4,99,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,4,115,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,4,118,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Node Pingable,5,216,9.70,worker-1,
4.11,4.11.6,4.11,Soft reboot,OC Reachable,5,102,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,5,130,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,5,134,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Node Pingable,6,215,9.43,worker-1,
4.11,4.11.6,4.11,Soft reboot,OC Reachable,6,102,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Workload Recovery,6,115,,worker-1,
4.11,4.11.6,4.11,Soft reboot,Cluster Recovery,6,134,,worker-1,
4.11,4.11.6,4.11,Power off/on,Node Pingable,1,177,12.20,worker-1,
4.11,4.11.6,4.11,Power off/on,OC Reachable,1,102,,worker-1,
4.11,4.11.6,4.11,Power off/on,Workload Recovery,1,385,,worker-1,
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,1,68,,worker-1,
4.11,4.11.6,4.11,Power off/on,Node Pingable,2,179,11.42,worker-1,
4.11,4.11.6,4.11,Power off/on,OC Reachable,2,143,,worker-1,
4.11,4.11.6,4.11,Power off/on,Workload Recovery,2,210,,worker-1,
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,2,153,,worker-1,
4.11,4.11.6,4.11,Power off/on,Node Pingable,3,174,11.42,worker-1,
4.11,4.11.6,4.11,Power off/on,OC Reachable,3,198,,worker-1,
4.11,4.11.6,4.11,Power off/on,Workload Recovery,3,195,,worker-1,
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,3,118,,worker-1,
4.11,4.11.6,4.11,Power off/on,Node Pingable,4,176,12.80,worker-1,
4.11,4.11.6,4.11,Power off/on,OC Reachable,4,168,,worker-1,
4.11,4.11.6,4.11,Power off/on,Workload Recovery,4,290,,worker-1,
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,4,134,,worker-1,
4.11,4.11.6,4.11,Power off/on,Node Pingable,5,179,11.87,worker-1,
4.11,4.11.6,4.11,Power off/on,OC Reachable,5,135,,worker-1,
4.11,4.11.6,4.11,Power off/on,Workload Recovery,5,230,,worker-1,
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,5,168,,worker-1,
4.11,4.11.6,4.11,Power off/on,Node Pingable,6,179,11.97,worker-1,
4.11,4.11.6,4.11,Power off/on,OC Reachable,6,132,,worker-1,
4.11,4.11.6,4.11,Power off/on,Workload Recovery,6,5,,worker-1,
4.11,4.11.6,4.11,Power off/on,Cluster Recovery,6,402,,worker-1,
4.12,4.12.0-rc.7,4.12,Soft reboot,Node Pingable,1,249,12.07,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,OC Reachable,1,36,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Workload Recovery,1,105,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Cluster Recovery,1,334,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Node Pingable,2,347,9.62,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,OC Reachable,2,36,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Workload Recovery,2,70,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Cluster Recovery,2,124,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Node Pingable,3,375,15.83,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,OC Reachable,3,36,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Workload Recovery,3,205,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Cluster Recovery,3,334,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Node Pingable,4,250,9.50,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,OC Reachable,4,36,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Workload Recovery,4,125,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Cluster Recovery,4,159,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Node Pingable,5,342,11.02,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,OC Reachable,5,36,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Workload Recovery,5,105,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Cluster Recovery,5,178,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Node Pingable,6,242,7.03,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,OC Reachable,6,36,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Workload Recovery,6,90,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Soft reboot,Cluster Recovery,6,54,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Node Pingable,1,244,9.12,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,OC Reachable,1,45,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Workload Recovery,1,115,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Cluster Recovery,1,143,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Node Pingable,2,231,7.65,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,OC Reachable,2,69,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Workload Recovery,2,105,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Cluster Recovery,2,54,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Node Pingable,3,231,7.88,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,OC Reachable,3,69,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Workload Recovery,3,100,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Cluster Recovery,3,73,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Node Pingable,4,231,7.98,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,OC Reachable,4,69,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Workload Recovery,4,125,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Cluster Recovery,4,54,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Node Pingable,5,231,8.13,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,OC Reachable,5,69,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Workload Recovery,5,150,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Cluster Recovery,5,38,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Node Pingable,6,232,7.32,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,OC Reachable,6,69,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Workload Recovery,6,100,,cnfdf35,
4.12,4.12.0-rc.7,4.12,Power off/on,Cluster Recovery,6,38,,cnfdf35,